uid	disease_name	geo_id	cell_type
1	Cushing Syndrome	GSE4060	Adrenal gland
10	Hepatic lipidosis	GSE5538	Hepatic Tissue
102	MELAS - Mitochondrial myopathy, encephalopathy, lactic acidosis and stroke-like episodes	GSE1462	Muscle - Striated (Skeletal) (MMHCC)
104	Peripheral motor neuropathy	GSE1947	Sciatic Nerve
105	Down Syndrome	GSE1611	CNS - Brain - Cerebellum (MMHCC)
107	Bipolar Disorder	GSE5388	frontal cortex
109	Sickle Cell Anemia	GSE9877	Endothelial cell
110	RA (rheumatoid arthritis)	GSE1919	Synovial Membrane
111	Anxiety Disorder	GSE932	CNS - Brain - Hippocampus (MMHCC)
114	Senescence	GSE1786	Muscle - Striated (Skeletal) (MMHCC)
115	Cardiomyopathy, Dilated	GSE9800	Myocardial tissue
116	Oligodendroglioma	GSE2223	CNS - Brain (MMHCC)
117	Malignant Melanoma	GSE3189	Epidermis
118	Malignant mesothelioma of pleura	GSE2549	Pleura
119	Carcinoma in situ of small intestine	GSE422	Intestinal Epithelium
12	Sarcoidosis	GSE2657	T lymphocyte
123	Systemic lupus erythematosus (SLE)	GSE12374	Whole blood
125	Carcinoma, Hepatocellular	GSE3632	Liver
126	Spinal Muscular Atrophy, Infantile	GSE3075	CNS - Spinal Cord (MMHCC)
127	Infection by Yersinia enterocolitica	GSE2973	macrophage
128	Osteolysis	GSE755	Leukocyte - Lymphocyte - B-Lymphocyte - Plasma Cell (MMHCC)
130	Dermatomyositis	GSE1551	Muscle - Striated (Skeletal) (MMHCC)
133	Bacterial Infection	GSE6435	Leukocyte - Monocyte - Macrophage (MMHCC)
135	Cancer of prostate	GSE3868	Prostate
137	Familial combined hyperlipidaemia	GSE1010	lymphoblast
138	Cystic Fibrosis	GSE3100	Lung
141	Infantile neuronal ceroid lipofuscinosis	GSE6678	Brain
144	Duchenne muscular dystrophy (DMD)	GSE1025	Muscle - Striated (Skeletal) (MMHCC)
146	Retinoschisis	GSE5581	Retina
148	Breast Cancer	GSE2429	Mammary Gland Tissue
